Identifiant	Nom du fichier	Analyse du texte	Notions du programme de philosophie
114	ARISTOTE_Argent&Usure	Titre: L'usure. Thèse: L'usure est un gain contre-nature issu de la monnaie. Résumé: L'usure est détestable car elle tire profit de l'argent lui-même, ce qui contredit la fonction initiale de la monnaie qui est d'être un moyen d'échange et non une source d'engendrement de richesse. Cette pratique est jugée la plus contraire à la nature parmi les chrématistiques.	La nature, La justice
115	ARISTOTE_Bienveillance	Titre: La bienveillance. Thèse: La bienveillance est un préalable de l'amitié véritable. Résumé: La bienveillance n'est pas l'amitié ni l'inclination à aimer (elle manque d'intensité et de désir). Elle peut être fortuite et s'adresse à des inconnus. Elle devient une amitié véritable (ni par intérêt, ni par plaisir) si elle se prolonge et devient une habitude, souvent inspirée par la vertu ou le mérite.	Le bonheur, La vérité
116	ARISTOTE_Bonheur&Souverain-bien&Fonction	Titre: Le bonheur comme réalisation de la fonction propre. Thèse: Le bonheur est l'activité de l'âme selon la vertu. Résumé: Le bonheur, souverain bien de l'homme, réside dans la réalisation de sa fonction propre. Cette fonction ne consiste ni dans la simple vie végétative (commune aux plantes) ni dans la vie sensitive (commune aux animaux), mais dans l'activité de l'âme conforme à la raison et s'accomplissant excellemment par la vertu.	Le bonheur, La conscience, Le devoir, La raison
117	ARISTOTE_Douceur&Colère&Vertu	Titre: La douceur. Thèse: La douceur est une médiété vertueuse dans la colère. Résumé: La douceur est la médiété dans le domaine des sentiments de colère. L'homme doux est celui qui se met en colère pour les bonnes raisons et de la bonne façon, selon ce que dicte la raison. L'excès est l'irascibilité, et la déficience est une indifférence blâmable.	Le bonheur, La conscience, La liberté, La raison
118	ARISTOTE_Échange&Troc&Monnaie	Titre: L'origine de la monnaie. Thèse: La monnaie rend les biens commensurables pour l'échange. Résumé: L'échange nécessite une péréquation (répartition égalitaire) pour établir l'égalité proportionnelle des produits. La monnaie a été introduite comme un moyen terme et un étalon unique pour mesurer toutes choses. Le lien universel qui fonde l'échange est le besoin des hommes.	La justice, La raison, Le travail
119	ARISTOTE_Homme-Véridique	Titre: L'Homme véridique. Thèse: L'homme sincère se tient dans le juste milieu louable. Résumé: L'homme véridique se situe au juste milieu entre l'excès du vantard (qui s'attribue trop de qualités) et la déficience du réticent (qui les atténue). La sincérité est noble et d'une importance capitale, car elle exprime le vrai caractère.	La conscience, La raison, La vérité
120	ARISTOTE_Justice&Équité	Titre: L’équité comme correctif de la justice légale. Thèse: L'équité corrige la justice légale en s'adaptant à la singularité des cas. Résumé: L'équitable est un correctif de la justice légale dû à la généralité inhérente de la loi qui ne peut couvrir tous les cas d'espèce. Il est supérieur à une certaine justice, sans être d'un genre différent. L'homme équitable a tendance à prendre moins que son dû.	La justice, La raison
121	ARISTOTE_Main	Titre: La main: l'instrument des instruments. Thèse: L'intelligence humaine cause la présence des mains, instrument des instruments. Résumé: Contrairement à Anaxagore, Aristote soutient que l'être humain a des mains parce qu'il est le plus intelligent. La main n'est pas un seul instrument, mais plusieurs, servant d'instrument pour les instruments. Elle permet à l'homme d'avoir plusieurs moyens de défense, contrairement aux autres animaux.	La nature, La raison
122	ARISTOTE_Met_A_Philosophie&Origine	Titre: L'origine de la pensée philosophique. Thèse: L'étonnement face à l'ignorance est l'origine de la philosophie. Résumé: L'étonnement a poussé les premiers penseurs aux spéculations philosophiques. Il s'agissait d'échapper à l'ignorance pour connaître, et non pour une fin utilitaire. Cette recherche de la science pour elle-même a commencé après que les arts utiles à la vie aient été connus.	La raison, La vérité
123	ARISTOTE_Met_B_Problemes&Temps	Titre: Prendre le temps de poser les problèmes. Thèse: Développer les difficultés est nécessaire pour les résoudre et avancer. Résumé: Pour résoudre une difficulté, il faut la développer avec soin, car l'aisance future de la pensée dépend de la solution des problèmes initiaux. Sans poser de problème, la recherche est sans but et on ne peut reconnaître si l'on a trouvé ce que l'on cherchait.	La raison, La vérité, Le temps
124	ARISTOTE_Naturel&Artificiel	Titre: La caractère auto-moteur de l’être naturel. Thèse: Les êtres naturels possèdent un principe interne de mouvement et d'arrêt. Résumé: Le texte distingue les êtres naturels des objets artificiels. Les premiers, comme les animaux ou les plantes, possèdent un principe interne de mouvement et d'arrêt. Les seconds, produits de l'art, n'ont aucune impulsion innée au changement en tant que tels.	La nature
125	ARISTOTE_Temps&Changement&Sardaigne	Titre: Le temps et le changement. Thèse: Le temps et le changement. Thèse: La conscience du changement est nécessaire à la perception du temps. Résumé: S'il n'y a pas de changement perçu, nous n'avons pas conscience du temps qui s'est écoulé, un « maintenant » antérieur étant joint au « maintenant » postérieur.	Le temps
126	ARISTOTE_Vertu-vice&volontaire	Titre: Qu'il était en notre pouvoir de n'être pas devenu mauvais. Thèse: La vertu et le vice sont volontaires, car dépendent de nous. Résumé: Puisque l'homme est le principe de ses actions, la vertu et le vice dépendent de lui et sont volontaires. Les législateurs punissent les actions perverses (sauf contrainte ou ignorance non causée par l'agent), ce qui confirme que ces actions sont en notre pouvoir. L'habitude nous rend mauvais, et une fois le caractère formé, il est difficile de changer.	La justice, La liberté
127	BADIOU_Amour&Jalousie	Titre: L’égoïsme comme ennemi interne de l’amour. Thèse: L'égoïsme, non le rival, est l'ennemi interne de l'amour. Résumé: Contrairement à la politique où la lutte contre l'ennemi est constitutive, le rival est extérieur à l'amour et n'entre pas dans sa définition. La jalousie est un parasite artificiel. Les difficultés de l'amour sont internes, liées au jeu créateur de la différence, et son véritable ennemi est l'égoïsme.	La conscience, La liberté
128	BARTHES_FDA_Attente&scénographie	Titre: Scénographie de l'attente. Thèse: L'attente de l'autre est une pièce de théâtre organisée par l'acteur. Résumé: L'attente de l'objet amie est organisée comme une pièce de théâtre en trois actes: le Prologue où le retard est mathématique puis déclenche l'angoisse; l'Acte I des supputations et de l'angoisse de conduite; l'Acte II de la colère; l'Acte III de l'angoisse de l'abandon.	L'art, Le temps
129	BARTHES_FDA_Attente&Temps	Titre: Le temps de l'attente. Thèse: La patience dans l'attente de l'amour a une limite. Résumé: L'attente, illustrée par l'histoire du mandarin, est un temps que l'on s'impose. Après avoir attendu quatre-vingt-dix neuf nuits la courtisane, le mandarin se lève et s'en va à la dernière nuit. L'attente s'interrompt juste avant l'atteinte de l'objet aimé.	La liberté, Le temps
130	BAUDRILLARD_112-113_Impératif&jouissance	Titre: Le devoir de consommation et de jouissance. Thèse: La jouissance est un devoir citoyen, équivalent du devoir de travail. Résumé: La jouissance n'est pas un plaisir mais une contrainte et un devoir pour le citoyen, l'équivalent de la contrainte traditionnelle de travail. L'homme consommateur doit maximiser son existence par la multiplication des signes et la mobilisation de toutes ses capacités consommatives, hanté par la peur de "rater" une sensation possible.	Le bonheur, Le devoir, Le travail
131	BAUDRILLARD_123_Devenir-soi-meme	Titre: L’illusion de la personnalisation marchande. Thèse: La marchandise personnalisée promet de devenir soi-même par contradiction. Résumé: La consommation utilise le thème de la personnalisation et de la différenciation (ex. : Mercedes, shampooing). La promesse de "être soi même" par l'objet est une contradiction interne (être plus que jamais soi-même, trouver sa personnalité) qui ronge le concept même de personnalité, devenue une valeur ajoutée.	La conscience
132	BAUDRILLARD_18_Sujet&objets	Titre: Le sujet moderne perdu dans jungle des objets. Thèse: L'homme moderne est dominé par le rythme de la succession des objets. Résumé: L'homme moderne est fonctionnalisé et vit au rythme des objets éphémères qui naissent, s'accomplissent et meurent, contrairement aux civilisations antérieures. Cette prolifération d'objets, dominée par la loi de la valeur d'échange et non par des lois naturelles, revient l'encercler comme une jungle.	La liberté, Le travail
133	BAUDRILLARD_20_Panoplie	Titre: La panoplie. Thèse: Les objets s'organisent en ensembles signifiants, suscitant l'achat. Résumé: L'abondance des objets s'organise en "panoplie" ou collection, où les objets se répondent et forment un "super-objet" cohérent. Le consommateur se réfère à cet ensemble pour sa signification totale, ce qui crée une logique d'achat orientée et enchaînée, visant l'investissement maximal.	La liberté
134	BAUDRILLARD_26_Attendre-que-le-bonheur-se-pose	Titre: Attendre que le bonheur se pose. Thèse: La consommation est une pensée magique axée sur les signes. Résumé: La consommation fonctionne par une mentalité magique : l'individu accumule des signes du bonheur (comme les Mélanésiens construisant un simulacre d'avion) et attend que le bonheur réel se pose. L'opulence est l'accumulation de ces signes.	Le bonheur, La religion
135	BAUDRILLARD_31_Miracle&fait-divers	Titre: L'omniprésence du fait divers comme miracle permanent. Thèse: Le fait divers est la catégorie magique de la société de consommation. Résumé: Dans les médias de masse, toute l'information est reçue comme un fait divers, rendue à la fois anodine et miraculeuse. Cette forme spectaculaire et distancée comble l'exigence de réalité en offrant le miracle d'être au coeur de l'événement sans y être, répondant à un fantasme.	La conscience, La vérité
136	BAUDRILLARD_33_Quotidien&consommation-violence	Titre: Le lieu de la consommation est la vie quotidienne. Thèse: La consommation est la clôture du privé par la violence médiatisée. Résumé: La vie quotidienne est une sphère privée close cherchant l'autonomie et la sécurité. Pour compenser cette passivité et la culpabilité, elle consomme des images de violence médiatisée (faits divers/catastrophes). L'insécurité extérieure justifie la quiétude du privé dans une idéologie de Jérusalem encerclée.	Le bonheur, Le devoir, La liberté
137	BAUDRILLARD_41-45_Système&parasite	Titre: Les nuisances. Thèse: La croissance se parasite elle-même en ne produisant que des palliatifs. Résumé: Le système de croissance s'autoparasite : les progrès génèrent des nuisances (pollution, encombrement, insécurité) qui sont compensées par des palliatifs (ex. : eau en bouteille). Les dépenses liées à ces correctifs et à l'usure sociale sont comptabilisées comme croissance, épuisant le système.	La conscience, Le travail
138	BAUDRILLARD_45_Mystique-PNB	Titre: La mystique du P.N.B. et de la croissance. Thèse: Le PNB est une mystique qui additionne tout sans signe négatif. Résumé: Le Produit National Brut (PNB) est une mystique collective qui additionne les biens objectivement utiles et les nuisances (comme la dégradation de l'air si elle implique plus de dépenses électriques). Tout ce qui est produit et mesurable est sacralisé et positif, même les coûts internes de fonctionnement.	L'État, La religion, La vérité
139	BAUDRILLARD_53_Gaspillage&Héros-consommation	Titre: Le gaspillage dans les sociétés d'abondance. Thèse: Le gaspillage est le schéma directeur de la société d'abondance. Résumé: Le gaspillage est le principe directeur de l'abondance, défiant la rareté. Les héros de la consommation (stars) incarnent le gaspillage somptuaire par procuration. Ce gaspillage de luxe double un gaspillage systématique intégré : la fragilité des objets, leur obsolescence calculée pour le renouvellement accéléré et la reproduction du système.	Le temps
140	BAUDRILLARD_59_Bonheur&signe-exterieurs	Titre: Idéologie du bonheur égalitaire. Thèse: Le bonheur est un signe extérieur mesurable, équivalent de l'égalité. Résumé: Le bonheur est l'équivalent moderne du salut, incarnant le mythe de l'égalité issu de la Révolution industrielle. Pour remplir cette fonction idéologique, le bonheur doit être mesurable par des objets et des signes visibles de confort. La jouissance intérieure et intime sans preuve est d'emblée exclue de notre consommation moderne.	Le bonheur, La religion
141	BAUDRILLARD_Temps&loisirs	Titre: Le drame des loisirs ou l’impossibilité de perdre son temps. Thèse: Le temps libre, objectivé et marchandise, n'est jamais vraiment libre. Résumé: Dans la société de consommation, le temps est un objet/capital soumis à la valeur d'échange. Le loisir, loin d'être un temps perdu ou libre, reproduit les contraintes du travail, notamment l'éthique de l'accomplissement et de la production de valeur statutaire, devenant un temps contraint et consommé.	Le temps, Le travail
142	BENJAMIN_Le-jeu	Titre: Le jeu. Thèse: Les passionnés aiment le jeu pour lui-même, pas pour le gain. Résumé: Le jeu est une passion qui mobilise le corps et l'esprit. Les vrais passionnés du jeu l'aiment pour lui-même et non pour l'argent. Ils cherchent la faute en eux en cas de perte, faisant preuve d'un dévouement allant jusqu'à l'esprit de sacrifice.	Le bonheur, La nature
143	BENTHAM_Calcul-félicifique	Titre: Le calcul félicifique. Thèse: La valeur du plaisir/douleur s'estime selon sept critères. Résumé: Le calcul félicifique (ou moral) évalue un plaisir ou une douleur selon quatre circonstances (intensité, durée, certitude, proximité) pour une personne seule. Deux autres critères (fécondité, pureté) évaluent l'acte qui les produit. Enfin, l'étendue est ajoutée pour plusieurs personnes.	Le bonheur, Le devoir, La raison
144	BERGSON_Conscience&mémoire&attente&choix	Titre: La conscience comme mémoire et attente. Thèse: La conscience est mémoire, anticipation et capacité fondamentale de choix. Résumé: La conscience se caractérise par la mémoire, qui conserve le passé, et l'anticipation de l'avenir. Elle est un pont jeté entre passé et futur, dont la fonction première est d'effectuer un choix. Son intensité varie avec la somme de choix ou de création qu'elle distribue sur la conduite, disparaissant dans l'automatisme. Le passé se conserve intégralement.	La conscience, L'inconscient, La liberté
145	BERGSON_Langage&mots&écran	Titre: L’incapacité du langage à saisir la singularité. Thèse: Le langage ne saisit que l'aspect impersonnel de nos états. Résumé: Le langage, en associant et juxtaposant des idées impersonnelles, échoue à traduire entièrement les états de conscience profonds qui se pénètrent et se fondent, comme l'amour ou la haine. Le mot ne peut saisir que l'aspect objectif et impersonnel des.	L'art, Le langage, La vérité
146	BERGSON_Rire&mécanique&vivant	Titre: Le rire: la raideur mécanique plaquée sur le vivant. Thèse: Le rire est provoqué par la mécanique plaquée sur la souplesse. Résumé: Le rire est suscité par la maladresse, c'est-à-dire l'élément involontaire qui résulte d'une raideur mécanique (vitesse acquise, obstination du corps) au lieu de la souplesse attentive et de la flexibilité attendues d'une personne. C'est l'automatisme qui persiste lorsque la situation exigerait une adaptation.	La raison, La conscience
147	BERKELEY_Cerise	Titre: La remise en cause de l’existence du monde extérieur : l’exemple de la cerise. Thèse: La cerise n'est qu'un conglomérat d'impressions sensibles. Résumé: Selon l'auteur, la cerise est réelle parce qu'elle est vue, touchée, goûtée. Elle n'est rien d'autre qu'un conglomérat d'impressions sensibles (mollesse, rougeur, acidité) unies par l'esprit. Si l'on entend par « cerise » une nature inconnue distincte de ces qualités, son existence ne peut être assurée.	La science, La vérité
148	BIBLE_Homme&Nature	Titre: La Genèse: sixième jour La place de l'Homme dans la nature. Thèse: L'Homme est créé à l'image de Dieu pour dominer la nature. Résumé: Après avoir créé les êtres vivants, Dieu créa l'Homme et la Femme à son image et à sa ressemblance. Il leur donna la bénédiction et le commandement de dominer sur les poissons de la mer, les oiseaux du ciel, et tous les animaux qui rampent sur la terre, ainsi que d'emplir la terre.	La nature, La religion
149	BOËDA_Objet&Lignée&Fonction	Titre: La compréhension de la fonction d’un objet par celle de sa lignée. Thèse: La fonction d'un objet n'est comprise que par la mémoire de sa lignée. Résumé: Un objet ne se définit pas par ce qu'il montre, mais par sa destinée. Pour connaître sa fonction, la mémoire de sa lignée (son échelle d'évolution) est essentielle. Sans cette mémoire, comme dans le cas du biface paléolithique, il est impossible de restituer son usage, même si l'on sait le fabriquer.	La science, Le temps
150	BOURDIEU_Don&Intervalle	Titre: L’intervalle temporel entre don et contre-don. Thèse: L'intervalle de temps masque l'obligation du contre-don. Résumé: L'intervalle de temps entre le don et le contre-don est crucial. Il permet de masquer le caractère symétrique des deux actes, faisant apparaître le don comme gratuit et généreux et le contre-don comme non calculé.	La vérité
151	BOURDIEU_Héritiers_Textes_ch.1	Titre: Extraits : origine sociale et héritage culturel à l’école. Thèse: L'origine sociale détermine fortement la réussite scolaire et les choix culturels. Résumé: Le milieu familial influence précocement la réussite scolaire et les aspirations, même à aptitudes égales, par la transmission d'un capital culturel souvent invisible. L'École perpétue le privilège en valorisant cet acquis. Les classes moyennes adhèrent fortement à ces valeurs pour l'ascension sociale.	La liberté, La science
152	BOURDIEU_Héritiers_Textes_ch.2	Titre: Extraits : prestige professoral et passivité étudiante à l’université. Thèse: Le système universitaire repose sur l'adhésion à la culture et le prestige professoral. Résumé: Les étudiants, aspirants intellectuels, cherchent des maîtres à penser. Les professeurs définissent unilatéralement les besoins culturels nobles face à la passivité des étudiants. L'Université sélectionne en jugeant l'être de l'étudiant via des épreuves comme la dissertation, légitimant la hiérarchie scolaire.	La conscience, La vérité
153	BOURDIEU_Héritiers_Textes_ch.3	Titre: Extraits : la condition étudiante et sa préparation professionnelle. Thèse: La condition étudiante est provisoire et son sens vient de l'avenir professionnel. Résumé: La condition étudiante est transitoire et prend son sens dans la préparation professionnelle. Les étudiants favorisés et les garçons ont des projets plus vagues. La mystification de cette condition mène au rejet des techniques d'apprentissage, perçues comme indignes, et à la croyance dans le don ou la magie de la réussite.	Le travail, La vérité
154	BOURDIEU_Héritiers_Textes_Conclusion	Titre: Extraits : la naturalisation des inégalités par l’idéologie scolaire. Thèse: L'idéologie charismatique naturalise les inégalités sociales en dons. Résumé: L'École, postulant l'égalité formelle, explique les inégalités par les dons individuels (idéologie charismatique). Cette idéologie transmue le privilège social en mérite personnel. Les basses classes, intégrant l'échec comme destin, deviennent victimes consentantes de ces jugements, renforçant les déterminismes sociaux.	La conscience, L'inconscient, La vérité
155	BOURDIEU_Hypercorrection&Hypocorrection_Court	Titre: Hypercorrection et hypocorrection. Thèse: Le langage reproduit et renforce les hiérarchies sociales. Résumé: Le système scolaire et les pratiques linguistiques (hypercorrection, hypocorrection) reproduisent les inégalités sociales. Les stratégies de distinction, souvent inconscientes, maintiennent les hiérarchies via la langue. La reconnaissance du langage légitime alimente des luttes incessantes, renforçant les écarts.	L'État, L'inconscient, La justice, Le langage
156	BOURDIEU_Inégalités-sociales&Reproduction	Titre: La reproduction des inégalités sociales. Thèse: L'école reproduit les inégalités en traitant les inégaux comme égaux. Résumé: La reproduction des inégalités sociales par l'école résulte de l'application d'un égalitarisme formel. L'institution traite comme "égaux en droits" des individus "inégaux en fait", c'est-à-dire inégalement préparés par leur culture familiale à recevoir l'enseignement.	L'État, La justice, La science
157	BOURDIEU_Parole-legitime	Titre: Le pouvoir de la parole légitime. Thèse: L'acceptabilité sociale de la parole prime sur sa grammaticalité. Résumé: La capacité universelle de parler ne garantit pas la compétence à être écouté. La compétence légitime (la manière de parler reconnue socialement) est rare et dépend du patrimoine social. Son absence exclut des individus de certains univers sociaux, les condamnant au silence.	Le langage, L'État
158	BOURDIEU_Sociologie&déterminisme	Titre: La sociologie libère par la connaissance du déterminisme. Thèse: La connaissance de la nécessité sociale est un progrès dans la liberté. Résumé: La sociologie, postulant le déterminisme social, cherche les raisons d'être sociales des phénomènes. Contrairement aux apparences, la connaissance de ces lois (comme la transmission du capital culturel) augmente la liberté possible. Une loi ignorée est un destin; une loi connue permet d'agir pour la modifier.	La conscience, La science
159	CHALMERS_Perception&subjectivité	Titre: La perception est structurée par la subjectivité qui perçoit. Thèse: La perception visuelle dépend de l'expérience, des connaissances et des attentes. Résumé: L'expérience visuelle d'un observateur est influencée par son savoir et ses attentes, comme le montrent les exemples des cartes anormales ou du diagnostic par radiographie. La perception n'est pas uniquement déterminée par l'image rétinienne, mais elle dépend aussi directement de la disposition d'esprit et de l'expérience culturelle du sujet.	La conscience, L'État, La vérité
160	CHARBONNIER_1_Insconséquence&Philosophie	Titre: L'inconséquence : l'ennemi traqué par l'apprentissage de la philosophie. Thèse: L'émancipation exige l'abolition des distinctions élitistes philosophes/non-philosophes. Résumé: Le texte critique la philosophie traditionnelle pour son dualisme pédagogique, séparant élites instruites et gens du commun. Cette approche, qui crée un "ennemi de la pensée" (erreur, préjugé, ignorance), renforce le prestige des philosophes. L'émancipation véritable nécessite un monisme démocratique, refusant toute distinction hiérarchique.	La justice, La liberté, La raison, La vérité
161	CHARBONNIER_2_Égalité&Émancipation&Philosophie	Titre: L'égalité épistémique comme condition de l'émancipation. Thèse: L'émancipation exige l'égalité épistémique et l'activité de penser de tous. Résumé: L'émancipation rejette tout dualisme entre savants et ignorants. Elle n'est pas une libération par des experts, mais une activité de penser critique et un travail sur soi accessible à tous. L'égalité épistémique, où tous sont "philosophes", est la condition essentielle.	La liberté, La raison, Le travail
162	CHARBONNIER_Croyance&Savoir&Vérité	Titre: La croyance comme tissu ontologique du moi. Thèse: L'esprit n'est fait que de croyances, non librement choisies. Résumé: L'esprit humain est entièrement constitué de croyances, qui ne sont pas librement choisies mais s'imposent à l'individu comme des vérités. L'auteur rejette l'opposition savoir/croyance, affirmant une crédulité primitive. Les croyances sont le tissu ontologique du moi, rendant leur contestation une attaque vitale.	La conscience, La liberté, La raison, La vérité
163	CHÂTELET_Illusion&Bonheur	Titre: Le bonheur de l'illusion artistique. Thèse: Le bonheur nécessite la capacité à se prêter à l'illusion. Résumé: L'illusion n'est pas une erreur nuisible; elle « accommode » les objets pour nous donner des sentiments agréables. Le plaisir, notamment artistique (spectacles, comédie), dépend de la capacité à s'y prêter. On peut choisir de préserver ses illusions plutôt que de les détruire.	L'art, Le bonheur
164	CHOLLET_Idéal-féminin	Titre: L'idéal féminin comme couteau sans lame. Thèse: L'idéal féminin contemporain exige un corps-objet, lisse et désincarné. Résumé: L'idéal féminin s'apparente à un « esprit absent dans un corps-objet », valorisant la surface (le buzz, l'image lisse) au détriment de l'individualité et de la nature humaine. La frénésie épilatoire est une guerre lucrative et désespérée contre l'animalité, imposant l'image d'une féminité éthérée et irréelle.	La conscience
165	CHOLLET_Propriété	Titre: Le complexité du rapport à la propriété. Thèse: L'accès à la propriété fragilise l'individu et favorise l'individualisme. Résumé: L'accès à la propriété, majoritairement financé par des emprunts longs, fragilise les ménages, les contraint et favorise l'individualisme libéral. L'auteure plaide pour une solution collective au problème du logement, comme un service public.	L'État, La liberté, Le temps
166	CICERON_Sagesse&eloquence	Titre: La saine articulation de la sagesse et de l'éloquence. Thèse: L'éloquence sans sagesse est dangereuse, la sagesse seule peu utile. Résumé: L'auteur s'interroge sur l'utilité de l'éloquence pour la société. Il conclut que l'éloquence doit être au service de la sagesse, des devoirs, et de la vertu pour être utile à soi et à la patrie, sinon elle est nuisible.	L'État, La raison, La vérité
167	CLASTRES_Travail&Hache&Surplus&Temps-libre	Titre: Le refus du surtravail dans certaines sociétés dites primitives. Thèse: Les sociétés primitives atteignent la subsistance sans surtravail constant. Résumé: Le texte critique l'impératif occidental du travail. Il montre que les sociétés primitives, grâce à des efforts minimes (quelques heures par jour), assurent leur subsistance sans surtravail, réfutant ainsi l'idée de misérabilisme associée à leur économie.	Le bonheur, Le devoir, L'État, La liberté, La nature
